LEA,school,year,e_1000,e_2100,e_2110,e_2120,e_2130,e_2140,e_2150,e_2160,e_2170,e_2180,e_2190,e_2200,e_2210,e_2212,e_2213,e_2219,e_2220,e_2230,e_2240,e_2290,e_2300,e_2310,e_2311,e_2312,e_2315,e_2316,e_2317,e_2319,e_2320,e_2321,e_2329,e_2400,e_2410,e_2490,e_2500,e_2510,e_2520,e_2530,e_2540,e_2560,e_2570,e_2580,e_2590,e_2600,e_2610,e_2620,e_2630,e_2640,e_2650,e_2660,e_2670,e_2680,e_2700,e_2710,e_2720,e_2730,e_2790,e_2795,e_2900,e_3100,e_3200,e_3300,e_3310,e_3350,e_3360,e_3370,e_3390,e_3395,e_4000,e_4100,e_4200,e_4300,e_4500,e_4502,e_4600,e_4700,e_4900,e_5000,e_5100,e_5200,e_5300,e_5900
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2016,2316196.44,219347.51,,,,,,,,,,1727.44,,,,,,,,,17944.62,,,,,,,,,,,346029.59,,,176941.54,,,,,,,,,104717.13999999998,,,,,,,,,248159.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2017,2543501.0,244026.0,,,,,,,,,,7604.0,,,,,,,,,17862.0,,,,,,,,,,,350958.0,,,187343.0,,,,,,,,,113993.0,,,,,,,,,259139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2018,2732517.2100000004,256197.06999999998,,,,,,,,,,7682.6900000000005,,,,,,,,,18847.11,,,,,,,,,,,386592.52999999997,,,205969.01,,,,,,,,,128224.18000000001,,,,,,,,,250097.5,,,,,,,,,,,,,,,,37332.1,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2019,2856131.39,212981.40999999997,,,,,,,,,,3035.8700000000003,,,,,,,,,18339.97,,,,,,,,,,,457315.24,,,207759.16,,,,,,,,,120139.31,,,,,,,,,280935.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2020,2957786.849999999,250384.03000000006,,,,,,,,,,874.31,,,,,,,,,20133.32,,,,,,,,,,,441690.08999999997,,,218821.21,,,,,,,,,104293.38,,,,,,,,,230306.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2021,2569118.22,207795.00999999998,,,,,,,,,,-4451.68,,,,,,,,,15456.0,,,,,,,,,,,461211.8899999999,,,218302.04,,,,,,,,,97066.11,,,,,,,,,252910.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Arts Academy,Advantage Arts Academy,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Arts Academy,Advantage Arts Academy,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.07,,,6571.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72649.28,,,,
Advantage Arts Academy,Advantage Arts Academy,2020,40146.0,153651.38,,,,,,,,,,4500.0,,,,,,,,,,,,,,,,,,,,39844.149999999994,,,62093.86000000001,,,,,,,,,,6591.0,1924.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79253.76000000001,,,,
Advantage Arts Academy,Advantage Arts Academy,2021,1178875.46,53192.5,,,2812.13,4950.0,32730.0,8625.0,1106.25,,,30500.110000000004,,,,,11696.73,,,,,,,,,,,,,,,188654.23,,,171321.27999999997,,,,,,,,,24690.37,740254.66,51763.45,24427.98,,,,,,,,,,,,,170841.63999999998,,,,,,,,,13144000.0,,,,,,,,,88444.53,1396.24,,,
Alianza Academy,Alianza Academy,2016,45728.0,7598.0,,,,,,,,,,,,,,,,,,,11642.0,,,,,,,,,,,74903.0,,,88317.0,,,,,,,,,201109.0,,,,,,,,,,,,,,,,2290.0,,,,,,,,,,,,,,,,,,,,,,
Alpine District,Alpine District,2016,320993861.99999994,,204614.22,9052970.69,1374810.7100000002,2209639.87,,842136.0800000001,,,,,11438869.429999998,,,,7227170.3100000005,,,,,222690.81,,29271.0,,76960.0,49351.3,597423.0,,478386.85000000003,428119.36000000004,,30217434.48999999,,,2612988.709999999,871201.81,,,377341.57,1510053.4400000004,7514856.230000002,,35956419.94999999,,,,,,,,,17776035.330000002,,,,,,-552496.1399999999,22110858.43,,,1722171.33,,,,17648497.579999994,,,5972341.5,3023720.36,1674257.62,,61195417.48,,7627800.899999999,,,,,,59388563.32
Alpine District,Alpine District,2017,213980954.0,,157912.0,5982313.0,740128.0,1559423.0,,1019417.0,,,,,10839902.0,,,,4869367.0,,,,,215972.0,,47371.0,,73000.0,57449.0,612049.0,,432430.0,613456.0,,18527674.0,,,3882838.0,1499226.0,413390.0,,403431.0,1701336.0,7856125.0,,32722561.0,,,,,,,,,17420983.0,,,,,,-641810.0,17227923.0,,,,,,,18203448.0,,,5951734.0,3829567.0,3651144.0,,22679516.0,,8100666.0,,,,,,62322705.0
