LEA,school,year,e_10_1000,e_10_2100,e_10_2110,e_10_2120,e_10_2130,e_10_2140,e_10_2150,e_10_2160,e_10_2170,e_10_2180,e_10_2190,e_10_2200,e_10_2210,e_10_2212,e_10_2213,e_10_2219,e_10_2220,e_10_2230,e_10_2240,e_10_2290,e_10_2300,e_10_2310,e_10_2311,e_10_2312,e_10_2315,e_10_2316,e_10_2317,e_10_2319,e_10_2320,e_10_2321,e_10_2329,e_10_2400,e_10_2410,e_10_2490,e_10_2500,e_10_2510,e_10_2520,e_10_2530,e_10_2540,e_10_2560,e_10_2570,e_10_2580,e_10_2590,e_10_2600,e_10_2610,e_10_2620,e_10_2630,e_10_2640,e_10_2650,e_10_2660,e_10_2670,e_10_2680,e_10_2700,e_10_2710,e_10_2720,e_10_2730,e_10_2790,e_10_2795,e_10_2900,e_10_3100,e_10_3200,e_10_3300,e_10_3310,e_10_3350,e_10_3390,e_10_3395,e_10_4000,e_10_4100,e_10_4200,e_10_4300,e_10_4500,e_10_4502,e_10_4600,e_10_4700,e_10_4900,e_10_5000,e_10_5100,e_10_5200,e_10_5300,e_10_5900,e_20_1000,e_20_2100,e_20_2120,e_20_2200,e_20_2220,e_20_2300,e_20_2600,e_20_2640,e_20_2710,e_20_2900,e_20_3200,e_20_3300,e_20_3310,e_20_3390,e_20_5100,e_21_1000,e_21_2100,e_21_2130,e_21_2190,e_21_2200,e_21_2210,e_21_2212,e_21_2213,e_21_2219,e_21_2220,e_21_2240,e_21_2290,e_21_2400,e_21_2410,e_21_2490,e_21_2500,e_21_2510,e_21_2600,e_21_2610,e_21_2640,e_21_2680,e_21_2700,e_21_2710,e_21_2720,e_21_2790,e_21_2900,e_21_3300,e_21_3310,e_23_1000,e_23_2100,e_23_2120,e_23_2130,e_23_2150,e_23_2160,e_23_2200,e_23_2210,e_23_2220,e_23_2230,e_23_2300,e_23_2320,e_23_2329,e_23_2400,e_23_2500,e_23_2510,e_23_2520,e_23_2580,e_23_2600,e_23_2610,e_23_2620,e_23_2630,e_23_2640,e_23_2650,e_23_2700,e_23_2720,e_23_2790,e_23_2900,e_23_3200,e_23_3300,e_23_3310,e_23_3370,e_23_3390,e_23_4200,e_26_1000,e_26_2500,e_26_3300,e_26_3310,e_26_3360,e_26_3390,e_26_5900,e_31_1000,e_31_2300,e_31_2500,e_31_2510,e_31_4100,e_31_5000,e_31_5100,e_31_5300,e_31_5900,e_32_1000,e_32_2100,e_32_2120,e_32_2130,e_32_2200,e_32_2210,e_32_2220,e_32_2230,e_32_2300,e_32_2310,e_32_2321,e_32_2329,e_32_2400,e_32_2410,e_32_2500,e_32_2510,e_32_2520,e_32_2530,e_32_2540,e_32_2560,e_32_2570,e_32_2580,e_32_2600,e_32_2610,e_32_2620,e_32_2630,e_32_2640,e_32_2650,e_32_2660,e_32_2670,e_32_2680,e_32_2700,e_32_2710,e_32_2730,e_32_2900,e_32_3100,e_32_3200,e_32_3300,e_32_4000,e_32_4100,e_32_4200,e_32_4300,e_32_4500,e_32_4502,e_32_4600,e_32_4700,e_32_4900,e_32_5000,e_32_5100,e_32_5300,e_32_5900,e_40_2620,e_40_4000,e_40_4100,e_40_4300,e_40_4500,e_40_4502,e_40_4700,e_40_5200,e_40_5300,e_49_1000,e_49_2200,e_49_2210,e_49_2310,e_49_2500,e_49_2510,e_49_3100,e_49_3300,e_49_4000,e_49_5000,e_49_5300,e_50_1000,e_50_2200,e_50_2600,e_50_2610,e_50_2620,e_50_3200,e_50_3300,e_50_4200,e_50_4500,e_50_5100,e_51_1000,e_51_2300,e_51_2500,e_51_2700,e_51_2900,e_51_3100,e_60_1000,e_60_2500,e_60_2510,e_60_2520,e_60_2530,e_60_2570,e_60_2590,e_60_2900,e_60_3200,e_60_4500,e_70_1000,e_70_2100,e_70_2200,e_70_2210,e_70_2213,e_70_2500,e_70_2510,e_70_2610,e_70_2900,e_70_3300,e_70_3310,e_70_3390,e_71_1000,e_71_2100,e_71_2190,e_71_2200,e_71_2210,e_71_2220,e_71_2510,e_71_3300,e_71_3310,e_71_3390,e_76_1000,e_76_2100,e_76_2500,e_76_2600,e_76_3200,e_76_3300,e_76_3310,e_76_3390,e_76_4500
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2016,2316196.44,219347.51,,,,,,,,,,1727.44,,,,,,,,,17944.62,,,,,,,,,,,346029.59,,,176941.54,,,,,,,,,104717.13999999998,,,,,,,,,248159.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2017,2543501.0,244026.0,,,,,,,,,,7604.0,,,,,,,,,17862.0,,,,,,,,,,,350958.0,,,187343.0,,,,,,,,,113993.0,,,,,,,,,259139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2018,2732517.2100000004,256197.06999999998,,,,,,,,,,7682.6900000000005,,,,,,,,,18847.11,,,,,,,,,,,386592.52999999997,,,205969.01,,,,,,,,,128224.18000000001,,,,,,,,,250097.5,,,,,,,,,,,,,,37332.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2019,2856131.39,212981.40999999997,,,,,,,,,,3035.8700000000003,,,,,,,,,18339.97,,,,,,,,,,,457315.24,,,207759.16,,,,,,,,,120139.31,,,,,,,,,280935.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2020,2957786.849999999,250384.03000000006,,,,,,,,,,874.31,,,,,,,,,20133.32,,,,,,,,,,,441690.08999999997,,,218821.21,,,,,,,,,104293.38,,,,,,,,,230306.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2021,2569118.22,207795.00999999998,,,,,,,,,,-4451.68,,,,,,,,,15456.0,,,,,,,,,,,461211.8899999999,,,218302.04,,,,,,,,,97066.11,,,,,,,,,252910.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Arts Academy,Advantage Arts Academy,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Arts Academy,Advantage Arts Academy,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.07,,,6571.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72649.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Arts Academy,Advantage Arts Academy,2020,40146.0,153651.38,,,,,,,,,,4500.0,,,,,,,,,,,,,,,,,,,,39844.149999999994,,,62093.86000000001,,,,,,,,,,6591.0,1924.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79253.76000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Arts Academy,Advantage Arts Academy,2021,1178875.46,53192.5,,,2812.13,4950.0,32730.0,8625.0,1106.25,,,30500.110000000004,,,,,11696.73,,,,,,,,,,,,,,,188654.23,,,171321.27999999997,,,,,,,,,24690.37,740254.66,51763.45,24427.98,,,,,,,,,,,,,170841.63999999998,,,,,,,13144000.0,,,,,,,,,88444.53,1396.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
