LEA,school,year,r_1100,r_1110,r_1111,r_1112,r_1113,r_1114,r_1115,r_1118,r_1124,r_1125,r_1128,r_1129,r_1134,r_1135,r_1136,r_1140,r_1154,r_1160,r_1162,r_1164,r_1174,r_1178,r_1184,r_1190,r_1199,r_1200,r_1300,r_1310,r_1320,r_1330,r_1340,r_1400,r_1410,r_1420,r_1440,r_1500,r_1510,r_1515,r_1540,r_1610,r_1620,r_1690,r_1700,r_1710,r_1720,r_1730,r_1740,r_1741,r_1742,r_1743,r_1744,r_1745,r_1746,r_1747,r_1748,r_1750,r_1760,r_1770,r_1780,r_1790,r_1800,r_1900,r_1910,r_1920,r_1930,r_1940,r_1950,r_1960,r_1965,r_1970,r_1980,r_1990,r_2000,r_3000,r_3005,r_3010,r_3013,r_3015,r_3020,r_3025,r_3100,r_3105,r_3110,r_3115,r_3120,r_3125,r_3128,r_3130,r_3155,r_3160,r_3200,r_3209,r_3210,r_3211,r_3212,r_3213,r_3215,r_3218,r_3220,r_3221,r_3230,r_3270,r_3300,r_3322,r_3336,r_3400,r_3405,r_3410,r_3415,r_3423,r_3435,r_3448,r_3467,r_3468,r_3470,r_3471,r_3477,r_3480,r_3500,r_3515,r_3520,r_3522,r_3555,r_3560,r_3600,r_3610,r_3612,r_3613,r_3635,r_3636,r_3637,r_3641,r_3646,r_3650,r_3655,r_3661,r_3687,r_3700,r_3701,r_3703,r_3704,r_3706,r_3708,r_3709,r_3710,r_3713,r_3714,r_3716,r_3717,r_3718,r_3719,r_3720,r_3721,r_3725,r_3760,r_3762,r_3764,r_3769,r_3770,r_3772,r_3774,r_3776,r_3780,r_3785,r_3795,r_3799,r_3800,r_3805,r_3807,r_3808,r_3810,r_3816,r_3851,r_3861,r_3862,r_3865,r_3866,r_3867,r_3868,r_3876,r_3878,r_3881,r_3882,r_3900,r_3990,r_5000,r_5100,r_5110,r_5120,r_5130,r_5140,r_5200,r_5210,r_5300,r_5400,r_5500,r_5600,r_5900,r_6100,r_6200,r_6300,r_6400
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9321.76,,,,,,10192.0,,702.0,,88032.5,,,,,,,,,,,,,,,,,51720.52,,,,,,,,9459.45,,,,1884535.0,,,190254.0,,,61184.0,2492.0,,2259.0,1882.0,,,94957.0,,,,,2853.0,7053.0,81973.0,,,,,,,,,17982.0,,,20220.0,,,,,,,,,,,,,34789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886968.0,,,50800.0,,,,,,,,,,,,1165.0,,,20796.0,,1358.0,,,,,,,,4299.0,115717.0,,58577.0,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14615.0,,,,,,8543.0,,472.0,,88381.0,,,,,,,,,,,,,,,,,39392.0,,,,,,,,14409.0,,,,1907735.0,,,190836.0,,,70900.0,2292.0,,2259.0,2100.0,,,85946.0,,,,,2884.0,5250.0,75897.0,,,,,,,,,20048.0,,,6556.0,,,,,,,,,,,,,36319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958479.0,,,47900.0,,,,,,,,,,,,1178.0,,,29993.0,,720.0,,,,,,,,4358.0,119628.0,,55930.0,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31052.75,,,,,,,,11797.0,,,,,,,,,,,,,,,,,,,48048.77,,92259.75,,,,,,18505.05,,,,1879837.44,,,194090.77,,201318.46000000002,,,,,,,,,,,,,,,,,,,,,,131280.31999999998,,,49328.55,,,,,,,,,,,,,49394.47,,,,,,,,,,,,,,,,,,,1111737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214733.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52354.05,,,,,,,,10043.0,,,,,,,,,,,,,,,,,,,78905.45,,101600.63,,,,,,31833.21,,,,3248328.97,,,201762.1,,223537.21,,,,,,,,,,,,,,,,,,,,,,127077.19,,,56000.0,,,,,,,,,,,,,51467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138156.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38199.25,,,,,,,,115.0,,,,,,,,,,,,,,,5593.0,,,,45416.45,,102543.9,,,,,,89694.5,,,,3397966.25,,,203602.32,,229929.22999999998,,,,,,,,,,,,,,,,,,,,,,136589.89,,,,,,,,,,,,,,,,140463.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149491.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academy for Math Engineering & Science,Academy for Math Engineering & Science,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11399.64,,,,,,,,,,,97152.0,-22822.0,9505.0,,13714.0,-342.0,,,,,,,657.0,,,,12978.66,,,,,,,,46701.17,,,,2081520.49,,,201888.68,,242749.13,,,,,,,,,,1430017.0999999999,,,,,,,,,,,,32075.12,,,,,,,,,,,,,,,,187653.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135184.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Arts Academy,Advantage Arts Academy,2018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,,,,,,,
Advantage Arts Academy,Advantage Arts Academy,2019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8224.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Arts Academy,Advantage Arts Academy,2020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6488.26,,,,,,,,,,,,,,,,,,,,,,,,,,,10.07,,,,,,,,843.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68700.0,,,,,,,
Advantage Arts Academy,Advantage Arts Academy,2021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.63,,,2975.18,1243.0,,,,,,,,,,,,,,,,,,,,,,,2192.71,,,,,,,,22747.98,,,138446.0,831754.8,,,21776.16,,323772.91000000003,,,,,,,,,,912345.38,,,,,,,,,,,,21292.53,,,93661.71,,,,,,,,,,,,,132613.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229744.74,,,,,,,,,,,,,,,,,,,,,,,,,123511.01,-123511.01000000001,,13207000.0,,,,,,,
