year,test,school,LEA,LEA_ID,subject,proficiency
2021,RISE,Academy for Math Engineering & Science,Academy for Math Engineering & Science,110575,English Language Arts,0.678161
2021,RISE,Academy for Math Engineering & Science,Academy for Math Engineering & Science,110575,Mathematics,0.55
2021,RISE,Academy for Math Engineering & Science,Academy for Math Engineering & Science,110575,Science,0.505376
2021,RISE,Advantage Arts Academy,Advantage Arts Academy,186506,English Language Arts,0.29078
2021,RISE,Advantage Arts Academy,Advantage Arts Academy,186506,Mathematics,0.223022
2021,RISE,Advantage Arts Academy,Advantage Arts Academy,186506,Science,0.337209
2021,RISE,Alpine Online School,Alpine District,122,English Language Arts,0.477124
2021,RISE,Alpine Online School,Alpine District,122,Mathematics,0.36478
2021,RISE,Alpine Online School,Alpine District,122,Science,0.583333
2021,RISE,Alpine School,Alpine District,122,English Language Arts,0.61186
2021,RISE,Alpine School,Alpine District,122,Mathematics,0.6
2021,RISE,Alpine School,Alpine District,122,Science,0.647841
2021,RISE,American Fork High,Alpine District,122,English Language Arts,0.499276
2021,RISE,American Fork High,Alpine District,122,Mathematics,0.307584
2021,RISE,American Fork High,Alpine District,122,Science,0.426686
2021,RISE,American Fork Jr High,Alpine District,122,English Language Arts,0.469657
2021,RISE,American Fork Jr High,Alpine District,122,Mathematics,0.433064
2021,RISE,American Fork Jr High,Alpine District,122,Science,0.481745
2021,RISE,American Fork Jr High,Alpine District,122,English Language Arts,0.524561
2021,RISE,American Fork Jr High,Alpine District,122,Mathematics,0.479574
2021,RISE,American Fork Jr High,Alpine District,122,Science,0.445596
2021,RISE,Aspen School,Alpine District,122,English Language Arts,0.46988
2021,RISE,Aspen School,Alpine District,122,Mathematics,0.459677
2021,RISE,Aspen School,Alpine District,122,Science,0.469072
2021,RISE,Barratt School,Alpine District,122,English Language Arts,0.530744
2021,RISE,Barratt School,Alpine District,122,Mathematics,0.571429
2021,RISE,Barratt School,Alpine District,122,Science,0.593361
2021,RISE,Belmont School,Alpine District,122,English Language Arts,0.562201
2021,RISE,Belmont School,Alpine District,122,Mathematics,0.55314
2021,RISE,Belmont School,Alpine District,122,Science,0.587629
2021,RISE,Black Ridge School,Alpine District,122,English Language Arts,0.523364
2021,RISE,Black Ridge School,Alpine District,122,Mathematics,0.395313
2021,RISE,Black Ridge School,Alpine District,122,Science,0.556263
2021,RISE,Bonneville School,Alpine District,122,English Language Arts,0.407801
2021,RISE,Bonneville School,Alpine District,122,Mathematics,0.309353
2021,RISE,Bonneville School,Alpine District,122,Science,0.5
2021,RISE,Brookhaven School,Alpine District,122,English Language Arts,0.4
2021,RISE,Brookhaven School,Alpine District,122,Mathematics,0.42132
2021,RISE,Brookhaven School,Alpine District,122,Science,0.492908
2021,RISE,Canyon View Jr High,Alpine District,122,English Language Arts,0.474212
2021,RISE,Canyon View Jr High,Alpine District,122,Mathematics,0.435083
2021,RISE,Canyon View Jr High,Alpine District,122,Science,0.469154
2021,RISE,Canyon View Jr High,Alpine District,122,English Language Arts,0.353896
2021,RISE,Canyon View Jr High,Alpine District,122,Mathematics,0.33213
2021,RISE,Canyon View Jr High,Alpine District,122,Science,0.303514
2021,RISE,Cascade School,Alpine District,122,English Language Arts,0.592689
2021,RISE,Cascade School,Alpine District,122,Mathematics,0.535433
2021,RISE,Cascade School,Alpine District,122,Science,0.635739
2021,RISE,Cedar Ridge School,Alpine District,122,English Language Arts,0.722772
2021,RISE,Cedar Ridge School,Alpine District,122,Mathematics,0.744361
2021,RISE,Cedar Ridge School,Alpine District,122,Science,0.755556
2021,RISE,Cedar Valley High,Alpine District,122,English Language Arts,0.451852
2021,RISE,Cedar Valley High,Alpine District,122,Mathematics,0.333333
2021,RISE,Cedar Valley High,Alpine District,122,Science,0.367574
2021,RISE,Cedar Valley School,Alpine District,122,English Language Arts,0.489796
2021,RISE,Cedar Valley School,Alpine District,122,Mathematics,0.530612
2021,RISE,Centennial Elementary,Alpine District,122,English Language Arts,0.516373
2021,RISE,Centennial Elementary,Alpine District,122,Mathematics,0.541562
2021,RISE,Centennial Elementary,Alpine District,122,Science,0.525806
2021,RISE,Central School,Alpine District,122,English Language Arts,0.363636
2021,RISE,Central School,Alpine District,122,Mathematics,0.348485
2021,RISE,Central School,Alpine District,122,Science,0.439614
2021,RISE,Cherry Hill School,Alpine District,122,English Language Arts,0.431937
2021,RISE,Cherry Hill School,Alpine District,122,Mathematics,0.443272
2021,RISE,Cherry Hill School,Alpine District,122,Science,0.493056
2021,RISE,Deerfield School,Alpine District,122,English Language Arts,0.520216
2021,RISE,Deerfield School,Alpine District,122,Mathematics,0.477089
2021,RISE,Deerfield School,Alpine District,122,Science,0.66436
2021,RISE,Dry Creek School,Alpine District,122,English Language Arts,0.608779
2021,RISE,Dry Creek School,Alpine District,122,Mathematics,0.609195
2021,RISE,Dry Creek School,Alpine District,122,Science,0.616162
2021,RISE,Eagle Valley School,Alpine District,122,English Language Arts,0.398936
2021,RISE,Eagle Valley School,Alpine District,122,Mathematics,0.352
2021,RISE,Eagle Valley School,Alpine District,122,Science,0.492806
2021,RISE,Eaglecrest School,Alpine District,122,English Language Arts,0.600406
2021,RISE,Eaglecrest School,Alpine District,122,Mathematics,0.625255
2021,RISE,Eaglecrest School,Alpine District,122,Science,0.626016
2021,RISE,Foothill School,Alpine District,122,English Language Arts,0.664516
2021,RISE,Foothill School,Alpine District,122,Mathematics,0.619355
2021,RISE,Foothill School,Alpine District,122,Science,0.63964
2021,RISE,Forbes School,Alpine District,122,English Language Arts,0.461538
2021,RISE,Forbes School,Alpine District,122,Mathematics,0.39819
2021,RISE,Forbes School,Alpine District,122,Science,0.490683
2021,RISE,Fox Hollow School,Alpine District,122,English Language Arts,0.570225
2021,RISE,Fox Hollow School,Alpine District,122,Mathematics,0.598315
2021,RISE,Fox Hollow School,Alpine District,122,Science,0.591078
2021,RISE,Freedom School,Alpine District,122,English Language Arts,0.614907
2021,RISE,Freedom School,Alpine District,122,Mathematics,0.619543
2021,RISE,Freedom School,Alpine District,122,Science,0.603723
2021,RISE,Frontier Middle School,Alpine District,122,English Language Arts,0.433919
2021,RISE,Frontier Middle School,Alpine District,122,Mathematics,0.34584
2021,RISE,Frontier Middle School,Alpine District,122,Science,0.450346
2021,RISE,Geneva School,Alpine District,122,English Language Arts,0.457516
2021,RISE,Geneva School,Alpine District,122,Mathematics,0.281046
2021,RISE,Geneva School,Alpine District,122,Science,0.543103
2021,RISE,Greenwood School,Alpine District,122,English Language Arts,0.397849
2021,RISE,Greenwood School,Alpine District,122,Mathematics,0.435967
2021,RISE,Greenwood School,Alpine District,122,Science,0.4
2021,RISE,Grovecrest School,Alpine District,122,English Language Arts,0.473958
2021,RISE,Grovecrest School,Alpine District,122,Mathematics,0.428571
2021,RISE,Grovecrest School,Alpine District,122,Science,0.561056
2021,RISE,Harvest School,Alpine District,122,English Language Arts,0.513889
