year,test,LEA,school,subject,proficiency
2017,SAGE,BOX ELDER DISTRICT,BEAR RIVER HIGH,Science,0.29
2017,SAGE,KANE DISTRICT,KANAB HIGH,Science,0.48
2017,SAGE,SALT LAKE DISTRICT,HIGHLAND HIGH,Science,0.31
2016,SAGE,ALPINE DISTRICT,SHARON SCHOOL,Mathematics,0.47
2016,SAGE,CACHE DISTRICT,SUNRISE SCHOOL,Mathematics,0.83
2016,SAGE,GRANITE DISTRICT,GRANGER HIGH,Science,0.23
2016,SAGE,GRANITE DISTRICT,OLYMPUS HIGH,Science,0.18
2016,SAGE,JORDAN DISTRICT,ELK RIDGE MIDDLE,Science,0.78
2016,SAGE,NEBO DISTRICT,BROOKSIDE SCHOOL,Science,0.56
2016,SAGE,OPEN CLASSROOM,OPEN CLASSROOM,Science,0.50
2016,SAGE,SALT LAKE DISTRICT,WEST HIGH,Science,0.39
2016,SAGE,TOOELE DISTRICT,STANSBURY HIGH,Science,0.45
2016,SAGE,UINTAH DISTRICT,VERNAL MIDDLE,Mathematics,0.43
2016,SAGE,WEBER DISTRICT,ROCKY MOUNTAIN JR HIGH,Science,0.76
2015,SAGE,CANYONS DISTRICT,JORDAN HIGH,Science,0.47
2015,SAGE,DAVIS DISTRICT,WOODS CROSS HIGH,Science,0.37
2017,SAGE,ACADEMY FOR MATH ENGINEERING & SCIENCE,ACADEMY FOR MATH ENGINEERING & SCIENCE,English Language Arts,0.76
2017,SAGE,ACADEMY FOR MATH ENGINEERING & SCIENCE,ACADEMY FOR MATH ENGINEERING & SCIENCE,English Language Arts,0.83
2017,SAGE,ACADEMY FOR MATH ENGINEERING & SCIENCE,ACADEMY FOR MATH ENGINEERING & SCIENCE,English Language Arts,0.59
2017,SAGE,ACADEMY FOR MATH ENGINEERING & SCIENCE,ACADEMY FOR MATH ENGINEERING & SCIENCE,Mathematics,0.58
2017,SAGE,ACADEMY FOR MATH ENGINEERING & SCIENCE,ACADEMY FOR MATH ENGINEERING & SCIENCE,Mathematics,0.59
2017,SAGE,ACADEMY FOR MATH ENGINEERING & SCIENCE,ACADEMY FOR MATH ENGINEERING & SCIENCE,Mathematics,0.72
2017,SAGE,ACADEMY FOR MATH ENGINEERING & SCIENCE,ACADEMY FOR MATH ENGINEERING & SCIENCE,Science,0.54
2017,SAGE,ACADEMY FOR MATH ENGINEERING & SCIENCE,ACADEMY FOR MATH ENGINEERING & SCIENCE,Science,0.64
2017,SAGE,ACADEMY FOR MATH ENGINEERING & SCIENCE,ACADEMY FOR MATH ENGINEERING & SCIENCE,Science,0.65
2017,SAGE,ACADEMY FOR MATH ENGINEERING & SCIENCE,ACADEMY FOR MATH ENGINEERING & SCIENCE,Science,0.47
2017,SAGE,ALPINE DISTRICT,ALPINE SCHOOL,English Language Arts,0.71
2017,SAGE,ALPINE DISTRICT,ASPEN SCHOOL,English Language Arts,0.61
2017,SAGE,ALPINE DISTRICT,BARRATT SCHOOL,English Language Arts,0.58
2017,SAGE,ALPINE DISTRICT,BONNEVILLE SCHOOL,English Language Arts,0.41
2017,SAGE,ALPINE DISTRICT,CASCADE SCHOOL,English Language Arts,0.39
2017,SAGE,ALPINE DISTRICT,CEDAR RIDGE SCHOOL,English Language Arts,0.76
2017,SAGE,ALPINE DISTRICT,CENTRAL SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,CHERRY HILL SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,EAGLECREST SCHOOL,English Language Arts,0.67
2017,SAGE,ALPINE DISTRICT,FORBES SCHOOL,English Language Arts,0.41
2017,SAGE,ALPINE DISTRICT,GENEVA SCHOOL,English Language Arts,0.53
2017,SAGE,ALPINE DISTRICT,GREENWOOD SCHOOL,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,GROVECREST SCHOOL,English Language Arts,0.51
2017,SAGE,ALPINE DISTRICT,HIGHLAND SCHOOL,English Language Arts,0.68
2017,SAGE,ALPINE DISTRICT,HILLCREST SCHOOL,English Language Arts,0.39
2017,SAGE,ALPINE DISTRICT,LEGACY SCHOOL,English Language Arts,0.68
2017,SAGE,ALPINE DISTRICT,LEHI SCHOOL,English Language Arts,0.63
2017,SAGE,ALPINE DISTRICT,ORCHARD SCHOOL,English Language Arts,0.49
2017,SAGE,ALPINE DISTRICT,MEADOW SCHOOL,English Language Arts,0.55
2017,SAGE,ALPINE DISTRICT,NORTHRIDGE SCHOOL,English Language Arts,0.52
2017,SAGE,ALPINE DISTRICT,LINDON SCHOOL,English Language Arts,0.45
2017,SAGE,ALPINE DISTRICT,OREM SCHOOL,English Language Arts,0.65
2017,SAGE,ALPINE DISTRICT,SCERA PARK SCHOOL,English Language Arts,0.50
2017,SAGE,ALPINE DISTRICT,MANILA SCHOOL,English Language Arts,0.51
2017,SAGE,ALPINE DISTRICT,ROCKY MOUNTAIN SCHOOL,English Language Arts,0.38
2017,SAGE,ALPINE DISTRICT,SEGO LILY SCHOOL,English Language Arts,0.64
2017,SAGE,ALPINE DISTRICT,SHARON SCHOOL,English Language Arts,0.32
2017,SAGE,ALPINE DISTRICT,SHELLEY SCHOOL,English Language Arts,0.59
2017,SAGE,ALPINE DISTRICT,SUNCREST SCHOOL,English Language Arts,0.30
2017,SAGE,ALPINE DISTRICT,VALLEY VIEW SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,VINEYARD SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,WESTMORE SCHOOL,English Language Arts,0.44
2017,SAGE,ALPINE DISTRICT,WINDSOR SCHOOL,English Language Arts,0.32
2017,SAGE,ALPINE DISTRICT,FOOTHILL SCHOOL,English Language Arts,0.59
2017,SAGE,ALPINE DISTRICT,MOUNT MAHOGANY SCHOOL,English Language Arts,0.50
2017,SAGE,ALPINE DISTRICT,SNOW SPRINGS SCHOOL,English Language Arts,0.52
2017,SAGE,ALPINE DISTRICT,WESTFIELD SCHOOL,English Language Arts,0.59
2017,SAGE,ALPINE DISTRICT,DEERFIELD SCHOOL,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,PONY EXPRESS SCHOOL,English Language Arts,0.43
2017,SAGE,ALPINE DISTRICT,FREEDOM SCHOOL,English Language Arts,0.69
2017,SAGE,ALPINE DISTRICT,EAGLE VALLEY SCHOOL,English Language Arts,0.38
2017,SAGE,ALPINE DISTRICT,SARATOGA SHORES SCHOOL,English Language Arts,0.65
2017,SAGE,ALPINE DISTRICT,FOX HOLLOW SCHOOL,English Language Arts,0.46
2017,SAGE,ALPINE DISTRICT,HARVEST SCHOOL,English Language Arts,0.57
2017,SAGE,ALPINE DISTRICT,RIDGELINE SCHOOL,English Language Arts,0.60
2017,SAGE,ALPINE DISTRICT,HIDDEN HOLLOW SCHOOL,English Language Arts,0.62
2017,SAGE,ALPINE DISTRICT,NORTH POINT SCHOOL,English Language Arts,0.71
2017,SAGE,ALPINE DISTRICT,SAGE HILLS SCHOOL,English Language Arts,0.50
2017,SAGE,ALPINE DISTRICT,MOUNTAIN TRAILS SCHOOL,English Language Arts,0.28
2017,SAGE,ALPINE DISTRICT,TRAVERSE MOUNTAIN SCHOOL,English Language Arts,0.53
2017,SAGE,ALPINE DISTRICT,RIVERVIEW SCHOOL,English Language Arts,0.69
